shooter_id,gk_id,game_id,gametime,penalty,freekick,shooter_x,shooter_y,gk,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,gk_name,gk_position_type,shooter_name,shooter_position_type
2075,14034,3856,64.48,FALSE,FALSE,-42.312,-7.828,home_1,-50.191,-2.621,12.848070983614624,26.1822558532747,1,3,FALSE,Lawrence Ati Zigi,GK,Facundo Pellistri,F
2077,8538,3843,57.4,FALSE,FALSE,25.892,2.434,home_22,49.402,-0.419,26.719094670291508,15.538022413092207,1,0,FALSE,Diogo Costa,GK,Edinson Cavani,CF
2077,13907,3825,68.57,FALSE,FALSE,-40.496,6.858,away_1,-50.731,1.78,13.82491157295409,26.30734920414971,1,2,FALSE,Seun-gyu Kim,GK,Edinson Cavani,CF
2077,13907,3825,86.92,FALSE,FALSE,-43.782,-0.644,away_1,-51.9,0.584,8.741753828608998,45.358256516637624,2,2,FALSE,Seun-gyu Kim,GK,Edinson Cavani,CF
2077,14034,3856,88.18,FALSE,FALSE,-46.733,-4.194,home_1,-50.909,-1.035,7.130773099741712,48.42080933561044,1,1,FALSE,Lawrence Ati Zigi,GK,Edinson Cavani,CF
2090,4602,3821,21.73,FALSE,FALSE,-46.671,-7.781,home_1,-51.726,-1.994,9.722201499660455,27.74227534446441,1,1,FALSE,Manuel Neuer,GK,Hiroki Sakai,D
2090,4602,3821,72.67,FALSE,FALSE,-45.384,7.622,home_1,-50.842,0.359,10.42748004073851,28.650861879962722,1,0,FALSE,Manuel Neuer,GK,Hiroki Sakai,D
2094,1341,3854,7.18,FALSE,FALSE,46.654,-11.343,away_23,51.093,-3.986,12.76085283200147,15.97888711024014,2,3,FALSE,Unai Simon,GK,Junya Ito,M
2094,4602,3821,72.63,FALSE,FALSE,-43.066,-4.324,home_1,-50.94,-0.741,10.37773250763383,36.215207902272766,1,2,FALSE,Manuel Neuer,GK,Junya Ito,M
2095,1341,3854,35.78,FALSE,FALSE,31.07,-3.166,away_23,50.564,-2.728,21.66260501417131,18.988536896754557,2,0,FALSE,Unai Simon,GK,Daichi Kamada,M
2095,3841,3836,71.35,FALSE,TRUE,35.496,-1.968,away_1,51.544,1.231,17.117506827806434,23.996127453773553,5,1,FALSE,Keylor Navas,GK,Daichi Kamada,M
2095,3841,3836,87.78,FALSE,FALSE,41.509,2.168,away_1,51.2,2.664,11.202781127916406,35.665363466030264,3,3,FALSE,Keylor Navas,GK,Daichi Kamada,M
2095,4602,3821,49.67,FALSE,FALSE,-36.75,6.407,home_1,-51.125,1.507,17.00329818005907,22.69208847053377,1,6,FALSE,Manuel Neuer,GK,Daichi Kamada,M
2095,13854,10506,40.1,FALSE,FALSE,47.621,10.821,away_1,49.1,5.892,11.870075062947159,15.647837166601475,1,2,FALSE,Dominik Livakovic,GK,Daichi Kamada,M
2095,13854,10506,45.38,FALSE,FALSE,29.139,2.132,away_1,51.235,0.645,23.458084853627756,17.667092161602074,1,2,FALSE,Dominik Livakovic,GK,Daichi Kamada,M
2099,1341,3854,69.83,FALSE,FALSE,34.961,3.451,away_23,47.55,2.045,17.875288025651503,22.75228919517558,1,2,FALSE,Unai Simon,GK,Takuma Asano,F
2099,3841,3836,45.45,FALSE,FALSE,38.129,-9.454,away_1,49.877,-0.52,17.201853301316113,20.423493024098523,2,0,FALSE,Keylor Navas,GK,Takuma Asano,F
2099,3841,3836,47.2,FALSE,FALSE,41.15,1.569,away_1,51.561,-0.819,11.457934412449742,35.174256232215974,1,1,FALSE,Keylor Navas,GK,Takuma Asano,F
2099,3841,3836,87.8,FALSE,FALSE,48.593,1.967,away_1,52.469,0.945,4.374212843472523,78.6548389537036,2,3,FALSE,Keylor Navas,GK,Takuma Asano,F
2099,4602,3821,57.1,FALSE,FALSE,-46.235,8.525,home_1,-51.142,2.95,10.579501406020986,24.959095213106334,1,1,FALSE,Manuel Neuer,GK,Takuma Asano,F
2099,4602,3821,60.27,FALSE,FALSE,-40.029,-13.127,home_1,-50.477,-3.237,18.10646210611007,16.188577382403732,1,1,FALSE,Manuel Neuer,GK,Takuma Asano,F
2099,4602,3821,65.47,FALSE,FALSE,-40.515,-11.89,home_1,-50.194,-2.991,16.882308047183596,17.900074158107493,2,2,FALSE,Manuel Neuer,GK,Takuma Asano,F
2099,4602,3821,67.82,FALSE,FALSE,-45.398,9.126,home_1,-50.459,4.251,11.563835004011427,23.366557193653023,1,0,FALSE,Manuel Neuer,GK,Takuma Asano,F
2099,4602,3821,82.65,FALSE,FALSE,-48.795,9.953,home_1,-50.991,5.072,10.62022758701526,15.262225146318427,2,1,TRUE,Manuel Neuer,GK,Takuma Asano,F
2106,13987,3851,77.73,FALSE,FALSE,-22.839,1.082,home_21,-50.179,0.287,29.680728511948626,14.050601680172724,2,0,FALSE,Mohammed Al-Owais,GK,Edson Alvarez,M
2108,8042,3818,95.85,FALSE,FALSE,35.088,-24.882,away_1,50.009,-2.363,30.36925530861763,7.982617805067339,2,0,FALSE,Wojciech Szczesny,GK,Uriel Antuna,RW
2108,13987,3851,77.2,FALSE,FALSE,-43.445,-4.442,home_21,-48.506,-11.884,10.085850930883323,36.88484338375304,0,1,FALSE,Mohammed Al-Owais,GK,Uriel Antuna,RW
2108,13987,3851,86.68,FALSE,FALSE,-34.325,-10.197,home_21,-36.594,-7.562,20.840091986361287,17.54052480026417,0,2,TRUE,Mohammed Al-Owais,GK,Uriel Antuna,RW
2111,144,3835,47.15,FALSE,FALSE,-29.154,-4.404,home_23,-49.884,0.049,23.757755196987784,17.230243920548578,1,3,FALSE,Emiliano Martínez,GK,Hirving Lozano,F
2111,8042,3818,51.65,FALSE,FALSE,28.543,14.433,away_1,50.743,1.335,27.968720707247233,12.84859973813642,1,2,FALSE,Wojciech Szczesny,GK,Hirving Lozano,F
2111,13987,3851,46.23,FALSE,FALSE,-37.35,-19.774,home_21,-50.285,-1.566,24.91051135565065,10.351362272074553,1,1,FALSE,Mohammed Al-Owais,GK,Hirving Lozano,F
2111,13987,3851,55.27,FALSE,FALSE,-37.209,-0.918,home_21,-49.614,0.571,15.318531424389215,26.833564600017823,1,2,TRUE,Mohammed Al-Owais,GK,Hirving Lozano,F
2111,13987,3851,65.93,FALSE,FALSE,-32.142,-9.362,home_21,-49.658,-1.34,22.407481072177653,16.95818539678736,1,2,FALSE,Mohammed Al-Owais,GK,Hirving Lozano,F
2111,13987,3851,91.4,FALSE,TRUE,-27.395,-5.178,home_21,-51.598,0.199,25.633429520842505,15.933944239084108,3,0,FALSE,Mohammed Al-Owais,GK,Hirving Lozano,F
2111,13987,3851,93.12,FALSE,FALSE,-36.003,-12.125,home_21,-50.622,-0.761,20.473559387659,16.573080476716463,2,1,FALSE,Mohammed Al-Owais,GK,Hirving Lozano,F
2134,2059,3844,66.95,FALSE,FALSE,-44.389,8.639,away_16,-52.4,0.244,11.849921603116197,25.051762588701337,2,2,TRUE,Edouard Mendy,GK,Moises Caicedo,M
2134,11241,3830,23.52,FALSE,FALSE,-29.097,-1.61,home_23,-50.748,-0.359,23.458314282999957,17.696542275337237,3,1,FALSE,Andries Noppert,GK,Moises Caicedo,M
2134,11241,3830,72.53,FALSE,FALSE,-36.84,-10.803,home_23,-50.932,-1.373,19.02473150927497,18.20526588513658,1,3,FALSE,Andries Noppert,GK,Moises Caicedo,M
2144,13935,3844,11.83,FALSE,FALSE,34.148,-12.234,home_1,49.023,-2.004,22.055989209282814,15.852804655143851,2,2,FALSE,Hernan Galindez,GK,Iliman Ndiaye,M
3299,144,3835,9.22,FALSE,FALSE,-27.248,2.228,home_23,-49.501,-1.234,25.35009838245209,16.370802450657603,4,0,FALSE,Emiliano Martínez,GK,César Montes,D
3301,8042,3818,11.73,FALSE,FALSE,47.717,0.036,away_1,51.431,-1.127,4.783135477905682,74.84518868650068,1,5,FALSE,Wojciech Szczesny,GK,Héctor Moreno,LCB
3301,8042,3818,44.87,FALSE,FALSE,47.227,-7.494,away_1,51.796,-1.601,9.163218048262305,28.67686961003737,1,3,FALSE,Wojciech Szczesny,GK,Héctor Moreno,LCB
3303,13987,3851,35.12,FALSE,FALSE,-40.558,2.951,home_21,-51.64,0.35,12.301209899843187,32.36625744418977,4,0,FALSE,Mohammed Al-Owais,GK,Jesús Gallardo,LB
3314,13987,3851,88.18,FALSE,FALSE,-33.545,-3.183,home_21,-50.621,-0.607,19.22039318016153,21.291773812134515,2,2,FALSE,Mohammed Al-Owais,GK,Rogelio Funes Mori,CF
3315,2059,3812,3.92,FALSE,FALSE,37.974,5.91,home_16,49.556,-1.479,15.682243972085121,24.572798275775835,2,1,FALSE,Edouard Mendy,GK,Vincent Janssen,F
3316,13799,3836,34.28,FALSE,FALSE,-35.277,-10.386,home_12,-51.082,-1.218,20.112203385009806,17.86667628102712,1,2,FALSE,Shuichi Gonda,GK,Joel Campbell,F
3352,8042,3818,44.28,FALSE,FALSE,43.601,-19.308,away_1,51.167,-3.068,21.26008149090685,8.447877417767561,1,1,FALSE,Wojciech Szczesny,GK,Jorge Sánchez,D
3367,8042,3818,63.38,FALSE,FALSE,40.813,3.828,away_1,50.233,1.455,12.297949137966052,31.824603244440148,1,1,FALSE,Wojciech Szczesny,GK,Henry Martín,CF
