shooter,goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
8027,0,-0.2600004989653826,-0.168409061367473,-0.8598628765035915,0.1961016634611236,-0.5527683217512752,0.21595019901632925,Noussair Mazraoui,D
8031,2,1.0445051342248917,0.3979831830744523,1.7323707706754374,0.22969425275105945,-0.052217552317624205,0.8481839184665287,Mohammed Kudus,M
8033,1,0.632343478500843,0.18093709494142102,1.218663586526726,0.1481122430998891,-0.10936290153436162,0.47123709141720366,Davy Klaassen,M
8034,1,0.3561408817768097,0.21625873492189474,1.030073917352623,0.20870827804057973,-0.19280949003764153,0.625326959881431,Steven Berghuis,M
8037,0,-0.2639220803976059,-0.09178575243134295,-0.6822866686837142,0.13503909964481672,-0.35646238773518374,0.17289088287249782,Dusan Tadić,F
8039,0,-0.32212866097688675,-0.0011056599029982514,-0.014178726222875655,0.2213280887834061,-0.4349087139184742,0.43269739411247765,Antony,F
8050,0,-0.02656303159892559,0.004147259027462842,0.03870146081234506,0.10103683584723988,-0.1938849392331273,0.202179457288053,Alex Sandro,D
8054,1,0.11452487483620644,0.13861989864953406,0.5669656555826982,0.24264081473477386,-0.3369560982306227,0.6141958955296909,Adrien Rabiot,M
8059,1,0.6827443689107895,0.17405760624464625,1.4187158885718745,0.12257512056538676,-0.0661896300635118,0.4143048425528043,Dušan Vlahović,F
8062,0,-0.09440120309591293,0.0052392146415973844,0.05624286573575183,0.0916203686023673,-0.17433670781904254,0.1848151371022373,Aaron Ramsey,M
8071,0,-0.0799480751156807,-0.09001782110229274,-0.8311340195139316,0.10797713186022387,-0.3016529995483315,0.12161735734374603,Sebastian Coates,D
8077,0,-0.04635418951511383,-0.0017716763636936269,-0.022775585194950276,0.09101672557426385,-0.18016445848925078,0.17662110576186352,Joao Palhinha,M
8079,0,-0.034878093749284744,0.022470398875031494,0.21058834358921877,0.10401033875876778,-0.18138986509215335,0.22633066284221634,Matheus Nunes,M
8113,0,-0.1854480877518654,-0.060601639948349724,-0.47632418641905755,0.1277610758439218,-0.31101334860243646,0.18981006870573702,Noah Okafor,F
8129,0,-0.20279523357748985,2.452876442428745e-4,-2.9411277010906405e-4,0.16179552889627855,-0.3168739489924631,0.3173645242809488,Marcelo Brozovic,M
8133,0,-0.15148277580738068,0.006209390122826928,0.057548643951347275,0.10240546930072819,-0.19450532970660034,0.2069241099522542,Matias Vecino,M
8134,1,0.9779304545372725,0.2968051025006299,2.9239022093395746,0.1014624423628471,0.0979387154694496,0.49567148953181023,Denzel Dumfries,M
8136,1,-0.5745677500963211,0.06375286434996233,0.18171112086773966,0.32034397389717517,-0.564121324488501,0.6916270531884257,Ivan Perisic,M
8138,2,-0.6955592855811119,-0.10974300471088479,-0.34842637158143447,0.3250085786668386,-0.74675981889788845,0.5272738094761188,Lautaro Martinez,F
8257,0,-0.15221071243286133,-0.019096348672209648,-0.17862436270960183,0.10747398993297162,-0.22974536894083403,0.1915526715964147,Harry Souttar,D
8324,0,-0.4520460218191147,-0.10081570510456038,-0.5787339561426655,0.17574997106851167,-0.44528564839884327,0.24365423818972248,Joakim Maehle,D
8326,0,-0.11639178916811943,-0.003675300959939534,-0.02554383885972088,0.13677918718183582,-0.2717625078363377,0.2644119059164587,Teun Koopmeiners,M
8328,1,0.14833030104637146,0.02169144718757863,0.12565341569033295,0.16715371608669793,-0.30592983634234927,0.34931273071750657,Remo Freuler,M
8330,0,-0.6510496288537979,-0.11782987758818352,-0.6716751578562582,0.17554190752880236,-0.46189201634463617,0.2262322611682691,Mario Pasalic,M
8341,1,0.5562769919633865,0.19784380078105315,1.4132173035611604,0.1401536587057146,-0.07685737028214748,0.4725449718442538,Gavi,M
8342,1,-0.5856168940663338,-0.15027931452715285,-0.6198121015036495,0.2494070830561669,-0.6391171973172399,0.3385585682629343,Memphis Depay,F
8343,0,-0.2565656118094921,-0.009248947051524332,-0.045379275484792134,0.22115742975806646,-0.4427175093773346,0.4242196152742859,Sergiño Dest,D
8344,0,-0.11505801975727081,0.002131196135676504,0.022462527464176107,0.10016220517463735,-0.19418672600661271,0.1984491182779657,Alex Balde,D
8400,0,-0.08885941654443741,-0.0797478077116403,-0.7826816605635414,0.10180931316106405,-0.27929406150732583,0.11979844608404522,Christian Fassnacht,M
8419,0,-0.10813803225755692,0.014245957249937003,0.12864165513594156,0.11093704556672522,-0.20319065206084444,0.23168256656071842,Gonzalo Montiel,D
8420,0,-0.07454188540577888,0.0397948248015873,0.2770086233050628,0.14175400094753998,-0.23804301705559106,0.31763266665876566,Papu Gómez,M
8551,0,-0.1697455756366253,-0.025206452658730165,-0.14357246718419248,0.171839212418702,-0.3620113089993861,0.31159840368192576,Stephen Eustaquio,M
8555,0,-0.27461621910333633,-0.0812086261337869,-0.5487919781131382,0.1492192720753262,-0.3736783994014262,0.21126114713385244,Otavio,M
8561,1,0.5022550672292709,0.19205315688935842,0.9443889848943596,0.20283284720998704,-0.20549922364221618,0.589605537420933,Mehdi Taremi,F
8564,1,0.8890409842133522,0.28938032921138857,2.0827301304245878,0.13863478724775755,0.017656146205783763,0.5611045122169933,Pepe,D
8583,1,0.26348644122481346,0.10044594004409166,0.4683404141095277,0.20931316908407707,-0.3098078713606994,0.5106997514488827,Theo Hernandez,D
8593,2,1.4651931449770927,0.7402574184567902,3.3146655907993448,0.2229974291427635,0.30318245733697374,1.1773323795766066,Rafael Leao,F
8627,0,-0.49169689416885376,-0.06315867365142357,-0.4803759319612438,0.13358518912532366,-0.32498564433705796,0.1986682970342108,Atiba Hutchinson,M
8631,0,-0.052542977035045624,-0.04554341315822633,-0.4151063097302091,0.10990167316591155,-0.26095069256341297,0.16986386624696032,Georges-Kevin N'Koudou,F
8854,0,-0.5547449290752411,-0.11919576044973554,-0.746211767990026,0.15875588593265377,-0.43035729687773694,0.19196577597826583,Jackson Irvine,M
8927,1,0.6255373358726501,0.23453938733686072,1.7871281881353553,0.13116485768761088,-0.02254373373085658,0.491622508404578,Ao Tanaka,M
9089,1,0.5200317539274693,0.32826299512975576,1.4811609013311222,0.2210519613754215,-0.10499884916607033,0.7615248394255818,Andreas Skov Olsen,M
9094,0,-0.5324382483959198,-0.09542450059838753,-0.721475797436625,0.13378174373222831,-0.35763671831355504,0.16678771711677998,Cyle Larin,F
9178,0,-0.1800318919122219,-0.03643769660367852,-0.20462910863886918,0.1800145256758502,-0.38926616692834487,0.31639077372098784,Marcos Acuña,D
9330,0,-0.15455271676182747,-0.10984983938838498,-0.6751373672676276,0.1624442981165315,-0.4282406636967867,0.20854098492001671,Dani Alves,RB
9820,1,0.6999779641628265,0.20754982916729653,1.8950291495134206,0.10942143492329222,-0.006916183282356214,0.42201584161694927,Achraf Dari,D
9824,0,-0.05265023186802864,-0.048902840291005376,-0.44839784691403073,0.10913220772262931,-0.26280196742735884,0.16499628684534806,Montassar Talbi,D
9837,0,-0.20193123817443848,-0.058851280816326554,-0.632438031962747,0.09322902178131384,-0.24158016350770167,0.12387760187504858,Jackson Porozo,D
9865,1,0.5951625779271126,0.30986888617283975,1.5168923711880236,0.20363548697486225,-0.08925666829789025,0.7089944406435698,Zakaria Aboukhlal,F
9918,0,-0.26113182306289673,-0.03049017486646512,-0.3211201213735379,0.09657743989462118,-0.21978195705992265,0.1588016073269924,Mario Götze,M
9939,0,-0.5142314359545708,-0.08944310997606458,-0.466983376009033,0.19430100257531277,-0.4702730750236776,0.29138685507154843,Jakub Kaminski,F
9963,2,0.36358432471752167,0.2582375910034012,1.0373714211373473,0.24747599493401023,-0.22681535906725886,0.7432905410740613,Niclas Fullkrug,F
9981,2,1.539004884660244,0.5180647668014616,2.953247636507771,0.17536563852682086,0.17434811528889277,0.8617814183140304,Ritsu Doan,F
9993,1,0.704961970448494,0.2853790456544472,1.9397570444239747,0.14717774235219805,-0.0030893293558609813,0.5738474206647555,Kalidou Koulibaly,D
10704,0,-0.08793313801288605,0.02071350514109347,0.18467052553978536,0.11228056349902242,-0.19935639931699048,0.2407834095991774,Kaoru Mitoma,LW
10715,4,1.0049749165773392,0.48620860605127253,1.6977441591705726,0.28448608464502984,-0.07138411985298593,1.043801331955531,Julian Alvarez,CF
11094,3,1.6971557289361954,0.5352736001946334,2.3015549744369226,0.23244329862666757,0.07968473488636502,0.9908624655029019,Cody Gakpo,F
11488,1,0.5546414628624916,0.12727649870811283,0.8066517635461552,0.15718001135762918,-0.18079632355284034,0.435349320969066,Ricardo Horta,F
11841,0,-0.18341634795069695,-0.055349805172587564,-0.3734228429916637,0.14864571940671745,-0.3466954152097538,0.23599580486457863,Hidemasa Morita,M
11854,0,-0.12298067659139633,-0.024838803648274132,-0.18405072730584218,0.1387542920891883,-0.2967972161430832,0.24711960884653494,Alexander Bah,D
11856,1,0.6216272190213203,0.27038974671201843,1.180485617673961,0.22807684035399692,-0.17664086038181553,0.7174203538058523,Enzo Fernandez,M
11960,3,1.391467735171318,0.5770865527286473,2.281749892435321,0.25219668730908396,0.08278104560284272,1.071392059854452,Enner Valencia,F
