shooter,number_of_shots,non_penalty_goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
3996,4,1,0.5473989434540272,0.26677521945956145,1.3517381089945073,0.19701724762577016,-0.11937858588694805,0.652929024806071,Bamba Dieng,F
4002,1,0,-0.22460630536079407,-0.03607874326719577,-0.3392817174481919,0.10626343165413668,-0.24435506930930365,0.17219758277491212,Nayef Aguerd,D
4020,1,0,-0.06262365728616714,0.003883431843663399,0.03253842140450251,0.11059704357863101,-0.21288677357045335,0.22065363725778017,Kamaldeen Sulemana,F
4053,3,0,-0.6984784305095673,-0.040192407079239025,-0.2555839719847946,0.1613132322457989,-0.3563663422810049,0.2759815281225268,Kasper Dolberg,F
4105,5,1,0.47419678047299385,0.17700062688208626,0.8228940062019806,0.21493557960522947,-0.24427310914416347,0.598274362908336,Wahbi Khazri,F
4142,2,0,-0.17091379687190056,9.196301272360866e-4,0.009022768816651252,0.15107263424823292,-0.2951827329993005,0.2970219932537726,Dylan Bronn,D
4152,4,0,-0.13458991795778275,-0.06984590632527088,-0.34542604332458265,0.20331479641676045,-0.46834290730212136,0.3286510946515796,Pape Sarr,M
4174,1,1,0.9284272864460945,0.32629114968946843,3.2416967387340754,0.10049428797018588,0.12932234526790412,0.5232599541110328,Jean-Charles Castelletto,D
4194,4,1,0.30162499845027924,0.17653015013164514,0.8206777739408765,0.21310432459314843,-0.2411543260709258,0.5942146263342161,Randal Kolo Muani,F
4207,1,0,-0.0763682872056961,-0.044341245017006786,-0.4067563625610497,0.10910665153725851,-0.25819028203003347,0.1695077919960199,Christopher Wooh,D
4280,1,0,-0.05191399157047272,0.0012100428136810424,0.009278037801416237,0.10736199825413631,-0.20921947376442612,0.2116395593917882,Ui-jo Hwang,F
4324,6,0,-0.3599478341639042,0.028973782537163054,0.11737964050913242,0.23245254784880562,-0.42663321124649595,0.484580776320822,Azzedine Ounahi,M
4404,2,0,-0.09986232593655586,-0.007353497758251443,-0.054617629942949136,0.13897972587616986,-0.27975376047554434,0.26504676495904145,Alidu Seidu,D
4408,1,0,-0.06087948754429817,0.02070623929579241,0.178998449836009,0.11567099690349104,-0.20600891463505003,0.24742139322663484,Salis Abdul Samed,M
4498,2,0,-0.4826919287443161,-0.0579346991502898,-0.3616205678511266,0.15988701924989734,-0.3713132568800886,0.25544385857950896,Amadou Onana,M
4566,2,0,-0.2002447135746479,-0.03013409885802467,-0.23652788120452303,0.12786819844212174,-0.2807557678045833,0.22048757008853395,Rubén Vargas,F
4590,1,0,-0.050626903772354126,-0.009823712761400863,-0.098038472643500435,0.10293489340106811,-0.21157610382749437,0.19192867830469262,Exequiel Palacios,M
